地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)投幣式A(申),2,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)投幣式A(查),255,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)非投幣式B(申),12,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),KTV(卡拉ok)非投幣式B(查),294,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),"MTV C(申)",0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),"MTV C(查)",3,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其　他D(視聽視唱業8)(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其　他D(視聽視唱業8)(查),3,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),資訊休閒業A(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),資訊休閒業A(查),89,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)投幣式A(申),210826,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)投幣式A(查),616231,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)非投幣式B(申),776571,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),KTV(卡拉ok)非投幣式B(查),1100351,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),"MTV C(申)",0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),"MTV C(查)",11514,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),其　他D(視聽視唱業8)(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),其　他D(視聽視唱業8)(查),4444,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),資訊休閒業A(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),資訊休閒業A(查),774563,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),電動搖搖馬B(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),電動搖搖馬B(查),70369,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),具娛樂性之選物販賣機C(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),具娛樂性之選物販賣機C(查),794193,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊藝樂園D(申),423120,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊藝樂園D(查),2568,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊艇、動力飛行器E(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-報繳(查定)稅額(單位:元),機動遊艇、動力飛行器E(查),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),電動搖搖馬B(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),電動搖搖馬B(查),183,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),具娛樂性之選物販賣機C(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),具娛樂性之選物販賣機C(查),361,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊藝樂園D(申),1,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊藝樂園D(查),2,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊艇、動力飛行器E(申),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),機動遊艇、動力飛行器E(查),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),"其   他F(其他9)(申)",3,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),"其   他F(其他9)(查)",41,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),職業性歌唱、舞蹈、馬戲、魔術、技術表演及夜總會之各種表演A,22,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),說書、戲劇、音樂演奏及非職業性歌唱、舞蹈等表演B,28,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),各種競技比賽C,0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),其他D(臨時公演),0,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),本國片繁榮地區(申),3,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-家數(單位:家),本國片繁榮地區(查),5,2015-12-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
