統計,總計,重大竊盜,普通竊盜,汽車竊盜,機車竊盜,贓物,賭博,重傷害,一般傷害,詐欺,背信,妨害自由,故意殺人,過失殺人,駕駛過失,妨害婚姻及家庭,妨害風化,妨害性自主罪-強制性交,妨害性自主罪-共同強制性交,妨害性自主罪-對幼性交,妨害性自主罪-性交猥褻,內亂,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,違反毒品危害防制條例-第一級毒品,違反毒品危害防制條例-第二級毒品,違反毒品危害防制條例-第三級毒品,違反毒品危害防制條例-第四級毒品,違反毒品危害防制條例-其他,毀棄損壞,妨害公務,違反著作權法,違反商標法,妨害電腦使用,強盜,搶奪,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,公共危險,侵害墳墓屍體,重利,妨害名譽,違反選罷法,妨害祕密,遺棄,違反貪污治罪條例,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,瀆職,脫逃,藏匿頂替,違反槍砲彈藥刀械管制條例,違反就業服務法,其他
總計,29668,9,3326,33,118,11,649,1,1444,6674,23,1622,31,4,3371,28,71,0,0,53,330,0,0,75,19,670,235,491,1919,183,0,12,581,73,33,4,77,47,8,109,0,389,2,0,0,4706,0,103,845,27,82,10,0,0,0,6,0,5,56,0,9,1,14,94,0,985
民意代表、行政主管、企業主管及經理人員,144,0,6,0,0,0,5,0,9,26,1,21,0,0,20,0,0,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,1,0,5,0,1,0,0,5,0,5,0,0,0,11,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
專業人員,877,0,40,1,2,0,25,0,51,226,0,47,0,0,178,2,0,0,0,8,15,0,0,2,0,17,14,1,22,3,0,0,15,1,1,0,2,0,0,4,0,0,0,0,0,113,0,0,41,0,6,0,0,0,0,0,0,1,6,0,1,0,0,1,0,31
技術員及助理專業人員,337,0,14,0,0,0,8,0,19,94,1,32,0,3,66,1,0,0,0,0,2,0,0,0,0,4,7,0,3,1,0,1,11,2,1,0,1,0,0,3,0,3,0,0,0,28,0,0,13,0,1,0,0,0,0,0,0,0,2,0,3,0,0,1,0,12
事務工作人員,182,0,10,0,0,0,1,0,6,55,0,10,0,0,47,0,0,0,0,1,1,0,0,0,0,3,1,2,3,0,0,0,6,0,1,0,1,0,0,0,0,2,0,0,0,22,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
服務,6946,1,623,4,13,4,179,0,319,1670,6,422,2,0,885,6,44,0,0,3,68,0,0,9,7,196,75,74,385,53,0,2,117,15,11,0,33,5,1,20,0,87,0,0,0,1050,0,34,242,1,17,5,0,0,0,1,0,0,10,0,0,0,3,26,0,218
售貨員,817,0,47,0,2,2,39,0,69,188,4,64,3,1,70,1,2,0,0,1,8,0,0,4,2,26,10,6,48,3,0,0,14,1,4,1,3,0,1,3,0,8,0,0,0,82,0,8,48,2,2,0,0,0,0,1,0,0,3,0,0,0,1,4,0,31
農林漁牧工作人員,672,1,49,0,2,1,14,1,48,77,0,42,0,0,63,0,0,0,0,0,8,0,0,4,0,8,5,28,39,1,0,1,24,0,0,0,0,0,0,15,0,18,0,0,0,170,0,4,20,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,22
保安工作人員,460,0,31,0,3,0,10,0,20,156,0,23,0,0,50,0,0,0,0,6,14,0,0,0,0,15,4,4,15,0,0,0,9,0,1,0,3,0,0,0,0,1,0,0,0,44,0,1,22,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,21
技術工及有關工作人員,1661,0,152,11,9,1,26,0,69,357,0,98,3,0,179,1,0,0,0,1,16,0,0,2,0,36,13,30,155,12,0,1,28,5,1,0,1,3,0,3,0,31,0,0,0,311,0,2,35,1,1,2,0,0,0,1,0,0,2,0,0,0,0,7,0,55
運輸工作人員-駕駛、船員等,637,0,44,2,6,0,11,0,41,117,0,38,0,0,140,0,0,0,0,0,7,0,0,0,0,21,2,8,35,3,0,0,8,3,0,0,3,2,0,0,0,3,0,0,0,105,0,3,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,19
運輸除外之機械設備操作工及組裝工,70,0,6,0,0,0,1,0,1,12,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
非技術工及體力工,7437,7,802,4,29,1,130,0,357,1118,8,372,14,0,685,3,10,0,0,10,63,0,0,32,7,145,23,228,746,53,0,5,132,21,0,2,9,15,2,21,0,142,2,0,0,1811,0,18,123,4,14,1,0,0,0,0,0,0,6,0,1,0,3,31,0,227
學生,1477,0,192,1,6,0,38,0,79,391,1,44,0,0,245,6,2,0,0,15,82,0,0,2,0,14,8,0,11,9,0,0,36,2,2,1,6,1,0,0,0,18,0,0,0,90,0,1,71,1,13,0,0,0,0,0,0,0,1,0,0,0,3,1,0,84
